Date,Open,High,Low,Close,Adj Close,Volume
27/06/2001,35.560001,37.240002,35.139999,2.55,35.700001,8600
28/06/2001,35.279999,37.799999,35.139999,2.6,36.400002,7800
29/06/2001,36.400002,38.220001,35.560001,2.54,35.560001,11900
02/07/2001,38.080002,38.220001,36.540001,2.61,36.540001,19800
03/07/2001,36.400002,37.66,36.400002,2.65,37.099998,2700
05/07/2001,36.959999,37.099998,34.299999,2.59,36.259998,7600
06/07/2001,35.700001,36.259998,33.880001,2.49,34.860001,9200
09/07/2001,35.98,42.700001,35.98,2.75,38.5,58600
10/07/2001,40.599998,40.880001,36.259998,2.65,37.099998,17000
11/07/2001,37.939999,38.919998,34.720001,2.54,35.560001,13100
12/07/2001,36.82,36.959999,34.299999,2.55,35.700001,12100
13/07/2001,35.139999,36.400002,35,2.56,35.84,5600
16/07/2001,35.419998,36.400002,33.599998,2.51,35.139999,9000
17/07/2001,33.599998,35,33.459999,2.48,34.720001,9000
18/07/2001,34.580002,34.860001,32.34,2.32,32.48,7000
19/07/2001,32.900002,33.459999,31.92,2.35,32.900002,9400
20/07/2001,32.900002,34.439999,32.200001,2.3,32.200001,5100
23/07/2001,32.619999,32.900002,30.1,2.25,31.5,13100
24/07/2001,31.780001,31.92,28,2.05,28.700001,12800
25/07/2001,30.1,30.1,27.02,1.93,27.02,15000
26/07/2001,27.02,29.120001,27.02,2,28,7500
27/07/2001,28.280001,31.360001,28.280001,2.14,29.959999,12700
30/07/2001,31.219999,32.200001,29.68,2.29,32.060001,8500
31/07/2001,32.34,35.139999,31.780001,2.5,35,10600
01/08/2001,35.139999,36.400002,30.940001,2.32,32.48,14500
02/08/2001,32.900002,33.459999,30.1,2.17,30.379999,10600
03/08/2001,30.799999,31.08,29.4,2.14,29.959999,4800
06/08/2001,29.4,30.1,29.120001,2.14,29.959999,4500
07/08/2001,30.1,30.52,29.120001,2.13,29.82,3600
08/08/2001,30.24,30.24,26.879999,1.96,27.440001,7800
09/08/2001,28.139999,28.139999,25.34,1.89,26.459999,11800
10/08/2001,26.6,27.299999,25.34,1.82,25.48,7300
13/08/2001,25.48,26.459999,25.34,1.88,26.32,4800
14/08/2001,25.9,27.860001,25.200001,1.89,26.459999,6000
15/08/2001,25.9,26.879999,25.34,1.82,25.48,2600
16/08/2001,25.9,26.18,24.780001,1.82,25.48,6500
17/08/2001,25.34,25.76,24.360001,1.77,24.780001,5000
20/08/2001,24.639999,25.48,21.98,1.61,22.540001,11300
21/08/2001,22.68,23.66,21.139999,1.61,22.540001,10800
22/08/2001,23.1,23.1,20.299999,1.52,21.280001,8600
23/08/2001,21.42,21.700001,19.040001,1.44,20.16,11200
24/08/2001,19.879999,20.16,19.040001,1.43,20.02,5700
27/08/2001,20.299999,21.98,19.6,1.57,21.98,7000
28/08/2001,22.120001,23.379999,19.6,1.63,22.82,6000
29/08/2001,25.76,27.16,24.5,1.82,25.48,17200
30/08/2001,26.040001,28.559999,25.48,1.93,27.02,10700
31/08/2001,27.16,27.719999,25.9,1.95,27.299999,9000
04/09/2001,27.16,29.68,26.6,2.03,28.42,11000
05/09/2001,28.139999,29.4,25.34,1.9,26.6,6500
06/09/2001,24.639999,26.74,24.5,1.8,25.200001,5700
07/09/2001,25.200001,25.76,23.1,1.75,24.5,4800
10/09/2001,23.1,24.5,22.4,1.75,24.5,8800
17/09/2001,23.66,24.5,22.4,1.67,23.379999,8000
18/09/2001,21.84,23.799999,20.440001,1.5,21,5900
19/09/2001,21.280001,23.1,20.58,1.53,21.42,9100
20/09/2001,21.280001,22.4,18.9,1.37,19.18,8500
21/09/2001,19.6,20.02,15.4,1.3,18.200001,20100
24/09/2001,20.16,24.639999,18.48,1.67,23.379999,29000
25/09/2001,22.4,24.08,21.280001,1.57,21.98,19900
26/09/2001,23.1,23.1,20.860001,1.51,21.139999,4700
27/09/2001,21.700001,23.1,20.299999,1.52,21.280001,6200
28/09/2001,20.860001,22.959999,19.74,1.48,20.719999,7300
01/10/2001,20.02,23.1,18.620001,1.65,23.1,9600
02/10/2001,23.799999,24.92,21.700001,1.65,23.1,10300
03/10/2001,23.66,24.08,22.4,1.67,23.379999,6900
04/10/2001,23.940001,24.5,22.68,1.64,22.959999,17800
05/10/2001,24.360001,24.360001,22.4,1.62,22.68,3500
08/10/2001,22.4,23.24,21.700001,1.56,21.84,2100
09/10/2001,22.540001,22.82,21.700001,1.59,22.26,2800
10/10/2001,21.700001,22.4,19.74,1.55,21.700001,11700
11/10/2001,21.98,23.799999,21.98,1.66,23.24,6900
12/10/2001,22.540001,23.66,21.84,1.68,23.52,6400
15/10/2001,23.24,23.52,21.700001,1.59,22.26,6300
16/10/2001,22.120001,22.4,21,1.56,21.84,11600
17/10/2001,21.84,23.1,20.860001,1.5,21,9900
18/10/2001,21.42,21.700001,20.719999,1.5,21,5900
19/10/2001,21,21.700001,20.299999,1.51,21.139999,3200
22/10/2001,20.58,21.42,20.299999,1.49,20.860001,4300
23/10/2001,21.139999,21.84,19.879999,1.42,19.879999,9500
24/10/2001,20.440001,20.58,19.6,1.4,19.6,4200
25/10/2001,19.74,20.299999,19.6,1.45,20.299999,6100
26/10/2001,20.299999,20.719999,19.6,1.41,19.74,8200
29/10/2001,19.879999,20.16,19.6,1.4,19.6,2700
30/10/2001,19.32,19.6,18.200001,1.3,18.200001,17000
31/10/2001,19.32,19.6,18.9,1.37,19.18,10000
01/11/2001,19.459999,20.299999,19.040001,1.4,19.6,14800
02/11/2001,20.299999,20.58,19.32,1.39,19.459999,7500
